"Number";"Version";"ID";"Created_On";"Description";"Name";"Level";"LOD";"File";"Creator";"Project";"Revision";"Domain";"Status";"Zone"
"PMC-00132";"001";"PMC-00132-01-001";"17/08/2016";"test sed data generation 18Aug";"CLI_TPM_AT_ALL_ARC_500_01";"ALL";"500";"CLI_TPM_AT_ALL_ARC_500_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"AT-Atrium"
"PMC-00131";"001";"PMC-00131-01-001";"12/08/2016";"test sed data generetion";"CLI_TPM_AT_ALL_ARC_600_01";"ALL";"600";"CLI_TPM_AT_ALL_ARC_600_01.ifc";"think project";"Klinik";"01";"Architecture";"published";"AT-Atrium"
"PMC-00130";"001";"PMC-00130-01-001";"12/08/2016";"sed data generation";"CLI_TPM_AT_ALL_ARC_700_01";"ALL";"700";"CLI_TPM_AT_ALL_ARC_700_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"AT-Atrium"
"PMC-00129";"001";"PMC-00129-01-001";"12/08/2016";"test sed data generation";"CLI_TPM_AT_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_AT_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"AT-Atrium"
"PMC-00128";"001";"PMC-00128-01-001";"10/07/2016";"bim-959-test9";"CLI_TPM_BU_ALL_STR_400_01";"ALL";"400";"CLI_TPM_BU_ALL_STR_400_01.ifc";"think project";"Klinik";"01";"Structure";"shared";"BU-Building"
"PMC-00127";"001";"PMC-00127-01-001";"10/07/2016";"bim-959-test8";"CLI_TPM_WE_ALL_MEP_400_01";"ALL";"400";"CLI_TPM_WE_ALL_MEP_400_01.ifc";"think project";"Klinik";"01";"MEP";"shared";"WE-West"
"PMC-00126";"001";"PMC-00126-01-001";"10/07/2016";"bim_959_test7";"CLI_TPM_WW_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_WW_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"WW-West  Wing"
"PMC-00125";"001";"PMC-00125-02-001";"10/07/2016";"bim-959-test6";"CLI_TPM_WW_ALL_ARC_400_02";"ALL";"400";"CLI_TPM_WW_ALL_ARC_400_02.ifc";"think project";"Klinik";"02";"Architecture";"shared";"WW-West  Wing"
"PMC-00124";"001";"PMC-00124-01-001";"10/07/2016";"bim-959-test5";"CLI_TPM_WW_ALL_ARC_300_01";"ALL";"300";"CLI_TPM_WW_ALL_ARC_300_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"WW-West  Wing"
"PMC-00123";"001";"PMC-00123-01-001";"10/07/2016";"bim-959-test3";"CLI_TPM_WW_ALL_ARC_800_01";"ALL";"800";"CLI_TPM_WW_ALL_ARC_800_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"WW-West  Wing"
"PMC-00122";"001";"PMC-00122-01-001";"10/07/2016";"bim_959_test1";"CLI_TPM_WW_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_WW_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"WW-West  Wing"
"PMC-00121";"001";"PMC-00121-01-001";"10/07/2016";"bim_1055_test5";"CLI_TPM_BU_ALL_STR_400_01";"ALL";"400";"CLI_TPM_BU_ALL_STR_400_01.ifc";"think project";"Klinik";"01";"Structure";"shared";"BU-Building"
"PMC-00120";"001";"PMC-00120-01-001";"09/07/2016";"BIM_1055_test4";"CLI_TPM_WW_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_WW_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"WW-West  Wing"
"PMC-00119";"001";"PMC-00119-01-001";"08/07/2016";"bim-1055_test4";"CLI_TPM_WE_ALL_MEP_400_01";"ALL";"400";"CLI_TPM_WE_ALL_MEP_400_01.ifc";"think project";"Klinik";"01";"MEP";"shared";"WE-West"
"PMC-00118";"001";"PMC-00118-02-001";"08/07/2016";"";"CLI_TPM_WW_ALL_ARC_700_02";"ALL";"700";"CLI_TPM_WW_ALL_ARC_700_02.ifc";"think project";"Klinik";"02";"Architecture";"published";"WW-West  Wing"
"PMC-00117";"001";"PMC-00117-01-001";"08/07/2016";"BIM_1055_test3";"CLI_TPM_WW_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_WW_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"WW-West  Wing"
"PMC-00116";"001";"PMC-00116-01-001";"06/07/2016";"bim_1055_test3";"CLI_TPM_WW_ALL_ARC_700_01";"ALL";"700";"CLI_TPM_WW_ALL_ARC_700_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"WW-West  Wing"
"PMC-00115";"001";"PMC-00115-01-001";"06/07/2016";"BIM_1055_test2";"CLI_TPM_WW_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_WW_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"WW-West  Wing"
"PMC-00114";"001";"PMC-00114-01-001";"06/07/2016";"BIM_1055_test";"CLI_TPM_WW_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_WW_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"published";"WW-West  Wing"
"PMC-00071";"002";"PMC-00071-10-002";"30/05/2016";"";"CLI_TPM_EW_ALL_ARC_300_10";"ALL";"300";"CLI_TPM_EW_ALL_ARC_300_10.ifc";"think project";"Klinik";"10";"Architecture";"shared";"EW-East Wing"
"PMC-00113";"001";"PMC-00113-10-001";"22/04/2016";"";"CLI_TPM_AT_ALL_ARC_200_10";"ALL";"200";"CLI_TPM_AT_ALL_ARC_200_10.ifc";"think project";"Klinik";"10";"Architecture";"in progress";"AT-Atrium"
"PMC-00105";"001";"PMC-00105-07-001";"14/04/2016";"";"CLI_TPM_BU_ALL_ARC_400_07";"ALL";"400";"CLI_TPM_BU_ALL_ARC_400_07.ifc";"think project";"Klinik";"07";"Architecture";"shared";"BU-Building"
"PMC-00104";"001";"PMC-00104-06-001";"13/04/2016";"";"CLI_TPM_BU_ALL_ARC_400_06";"ALL";"400";"CLI_TPM_BU_ALL_ARC_400_06.ifc";"think project";"Klinik";"06";"Architecture";"shared";"BU-Building"
"PMC-00079";"001";"PMC-00079-06-001";"18/03/2016";"";"CLI_TPM_BU_ALL_ARC_400_06";"ALL";"400";"CLI_TPM_BU_ALL_ARC_400_06.ifc";"think project";"Klinik";"06";"Architecture";"in progress";"BU-Building"
"PMC-00078";"001";"PMC-00078-06-001";"18/03/2016";"";"CLI_TPM_BU_ALL_ARC_600_06";"ALL";"600";"CLI_TPM_BU_ALL_ARC_600_06.ifc";"think project";"Klinik";"06";"Architecture";"in progress";"BU-Building"
"PMC-00076";"001";"PMC-00076-02-001";"04/01/2016";"";"CLI_TPM_BU_ALL_ARC_200_02";"ALL";"200";"CLI_TPM_BU_ALL_ARC_200_02.ifc";"think project";"Klinik";"02";"Architecture";"published";"BU-Building"
"PMC-00075";"001";"PMC-00075-01-001";"04/01/2016";"";"CLI_TPM_BU_ALL_ARC_100_01";"ALL";"100";"CLI_TPM_BU_ALL_ARC_100_01.ifc";"think project";"Klinik";"01";"Architecture";"published";"BU-Building"
"PMC-00074";"001";"PMC-00074-05-001";"16/11/2015";"";"CLI_TPM_BU_ALL_ARC_400_05";"ALL";"400";"CLI_TPM_BU_ALL_ARC_400_05.ifc";"think project";"Klinik";"05";"Architecture";"in progress";"BU-Building"
"PMC-00073";"001";"PMC-00073-10-001";"13/11/2015";"";"CLI_TPM_AT_ALL_ARC_400_10";"ALL";"400";"CLI_TPM_AT_ALL_ARC_400_10.ifc";"think project";"Klinik";"10";"Architecture";"shared";"AT-Atrium"
"PMC-00071";"001";"PMC-00071-10-001";"12/11/2015";"";"CLI_TPM_EW_ALL_ARC_300_10";"ALL";"300";"CLI_TPM_EW_ALL_ARC_300_10.ifc";"think project";"Klinik";"10";"Architecture";"published";"EW-East Wing"
"PMC-00070";"001";"PMC-00070-10-001";"12/11/2015";"";"CLI_TPM_EW_ALL_ARC_500_10";"ALL";"500";"CLI_TPM_EW_ALL_ARC_500_10.ifc";"think project";"Klinik";"10";"Architecture";"shared";"EW-East Wing"
"PMC-00069";"001";"PMC-00069-01-001";"12/11/2015";"";"CLI_TPM_EW_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_EW_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"in progress";"EW-East Wing"
"PMC-00059";"001";"PMC-00059-02-001";"02/09/2015";"";"CLI_TPM_EW_ALL_ARC_400_02";"ALL";"400";"CLI_TPM_EW_ALL_ARC_400_02.ifc";"think project";"Klinik";"02";"Architecture";"shared";"EW-East Wing"
"PMC-00002";"002";"PMC-00002-01-002";"25/08/2015";"MEP model for east section";"CLI_TPM_EA_ALL_MEP_400_01";"ALL";"400";"CLI_TPM_EA_ALL_MEP_400_01.ifc";"think project";"Klinik";"01";"MEP";"published";"EA-East"
"PMC-00006";"004";"PMC-00006-01-004";"24/08/2015";"Architecture model for west wing section";"CLI_TPM_WW_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_WW_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"WW-West  Wing"
"PMC-00052";"001";"PMC-00052-01-001";"24/06/2015";"";"CLI_TPM_BU_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_BU_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"in progress";"BU-Building"
"PMC-00051";"001";"PMC-00051-01-001";"18/06/2015";"";"CLI_TPM_WW_ALL_ARC_100_01";"ALL";"100";"CLI_TPM_WW_ALL_ARC_100_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"WW-West  Wing"
"PMC-00050";"001";"PMC-00050-01-001";"16/06/2015";"";"CLI_TPM_WW_ALL_ARC_500_01";"ALL";"500";"CLI_TPM_WW_ALL_ARC_500_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"WW-West  Wing"
"PMC-00049";"001";"PMC-00049-05-001";"16/06/2015";"";"CLI_TPM_BU_ALL_ARC_100_05";"ALL";"100";"CLI_TPM_BU_ALL_ARC_100_05.ifc";"think project";"Klinik";"05";"Architecture";"shared";"BU-Building"
"PMC-00047";"001";"PMC-00047-05-001";"05/05/2015";"Architecture Consolidated";"CLI_TPM_BU_ALL_ARC_400_05";"ALL";"400";"CLI_TPM_BU_ALL_ARC_400_05.ifc";"think project";"Klinik";"05";"Architecture";"published";"BU-Building"
"PMC-00006";"003";"PMC-00006-01-003";"17/04/2015";"Architecture model for west wing section";"CLI_TPM_WW_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_WW_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"in progress";"WW-West  Wing"
"PMC-00003";"002";"PMC-00003-01-002";"17/04/2015";"MEP model for east section";"CLI_TPM_WE_ALL_MEP_400_01";"ALL";"400";"CLI_TPM_WE_ALL_MEP_400_01.ifc";"think project";"Klinik";"01";"MEP";"in progress";"WE-West"
"PMC-00006";"002";"PMC-00006-01-002";"17/04/2015";"Architecture model for west wing section";"CLI_TPM_WW_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_WW_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"in progress";"WW-West  Wing"
"PMC-00007";"008";"PMC-00007-01-008";"16/04/2015";"Space model for clinic project";"CLI_TPM_BU_ALL_ARC_200_01";"ALL";"200";"CLI_TPM_BU_ALL_ARC_200_01.ifc";"think project";"Klinik";"01";"Architecture";"published";"BU-Building"
"PMC-00012";"001";"PMC-00012-01-001";"13/03/2015";"Certification Model "WallStandardCase_01A_Vw"";"CLI_TPM_BU_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_BU_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"BU-Building"
"PMC-00010";"002";"PMC-00010-01-002";"29/01/2015";"Structural model clinic project";"CLI_TPM_BU_ALL_STR_400_01";"ALL";"400";"CLI_TPM_BU_ALL_STR_400_01.ifc";"think project";"Klinik";"01";"Structure";"shared";"BU-Building"
"PMC-00007";"004";"PMC-00007-01-004";"10/01/2015";"Space model for clinic project";"CLI_TPM_BU_ALL_ARC_200_01";"ALL";"200";"CLI_TPM_BU_ALL_ARC_200_01.ifc";"think project";"Klinik";"01";"Architecture";"published";"BU-Building"
"PMC-00010";"001";"PMC-00010-01-001";"12/09/2014";"Structural model clinic project";"CLI_TPM_BU_ALL_STR_400_01";"ALL";"400";"CLI_TPM_BU_ALL_STR_400_01.ifc";"think project";"Klinik";"01";"Structure";"shared";"BU-Building"
"PMC-00004";"003";"PMC-00004-01-003";"05/12/2014";"Architecture model for atrium section";"CLI_TPM_AT_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_AT_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"published";"AT-Atrium"
"PMC-00004";"002";"PMC-00004-01-002";"28/11/2014";"Architecture model for atrium section";"CLI_TPM_AT_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_AT_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"published";"AT-Atrium"
"PMC-00006";"001";"PMC-00006-01-001";"29/08/2014";"Architecture model for west wing section";"CLI_TPM_WW_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_WW_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"WW-West  Wing"
"PMC-00007";"001";"PMC-00007-01-001";"29/08/2014";"Space model for clinic project";"CLI_TPM_BU_ALL_ARC_200_01";"ALL";"200";"CLI_TPM_BU_ALL_ARC_200_01.ifc";"think project";"Klinik";"01";"Architecture";"published";"BU-Building"
"PMC-00005";"001";"PMC-00005-01-001";"29/08/2014";"Architecture model for east wing section";"CLI_TPM_EW_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_EW_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"EW-East Wing"
"PMC-00004";"001";"PMC-00004-01-001";"29/08/2014";"Architecture model for atrium section";"CLI_TPM_AT_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_AT_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"AT-Atrium"
"PMC-00003";"001";"PMC-00003-01-001";"29/08/2014";"MEP model for east section";"CLI_TPM_WE_ALL_MEP_400_01";"ALL";"400";"CLI_TPM_WE_ALL_MEP_400_01.ifc";"think project";"Klinik";"01";"MEP";"shared";"WE-West"
"PMC-00002";"001";"PMC-00002-01-001";"29/08/2014";"MEP model for east section";"CLI_TPM_EA_ALL_MEP_400_01";"ALL";"400";"CLI_TPM_EA_ALL_MEP_400_01.ifc";"think project";"Klinik";"01";"MEP";"shared";"EA-East"
