"Number";"Version";"Name";"Pin_Point";"Date_Due";"ID";"Element_ID";"Level";"Element_ID";"Assigned_To";"Status";"Creator";"Description";"File";"Element_Properties";"Created_On";"Comment";"Comment_History";"Revision"
"VCC-00068";"001";"ARCH vs. MEP_Clash 18";"x:-35.729, y:41.458, z:7.972";"24/12/2014";"VCC-00068-00-001";"Oval Duct:Gored Elbows / Tees:569059";"Level 2";"Basic Wall:Interior - Partition (92mm Stud):217124";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
"VCC-00069";"001";"ARCH vs. MEP_Clash 19";"x:-19.830, y:24.132, z:7.973";"24/12/2014";"VCC-00069-00-001";"Round Duct:Taps / Short Radius:569554";"Level 2";"Basic Wall:Interior - Furring (38 mm Stud):379832";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
"VCC-00070";"001";"ARCH vs. MEP_Clash 20";"x:-20.236, y:24.129, z:7.973";"24/12/2014";"VCC-00070-00-001";"Round Duct:Taps / Short Radius:569554";"Level 2";"Basic Wall:Interior - Furring (38 mm Stud):379701";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
"VCC-00053";"001";"ARCH vs. MEP_Clash 3";"x:-43.478, y:16.832, z:2.985";"24/12/2014";"VCC-00053-00-001";"Pipe Types:Fire Protection:1014044";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):164520";"Architekt, Antje, think project!";"Approved";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
"VCC-00071";"001";"ARCH vs. MEP_Clash 21";"x:-20.236, y:39.489, z:2.975";"24/12/2014";"VCC-00071-00-001";"Pipe Types:Fire Protection:1002499";"Level 1";"Basic Wall:Interior - Furring (38 mm Stud):361861";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
"VCC-00072";"001";"ARCH vs. MEP_Clash 22";"x:-15.336, y:18.836, z:2.922";"24/12/2014";"VCC-00072-00-001";"Pipe Types:Vent:643389";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):182526";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
"VCC-00073";"001";"ARCH vs. MEP_Clash 23";"x:-44.729, y:25.084, z:3.340";"24/12/2014";"VCC-00073-00-001";"Rectangular Duct:Radius Elbows / Taps:566752";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):162361";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
"VCC-00074";"001";"ARCH vs. MEP_Clash 24";"x:-22.910, y:16.498, z:2.975";"24/12/2014";"VCC-00074-00-001";"Pipe Types:Fire Protection:1001445";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):170601";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
"VCC-00075";"001";"ARCH vs. MEP_Clash 25";"x:-33.320, y:20.794, z:8.032";"24/12/2014";"VCC-00075-00-001";"Oval Duct:Mitered Elbows / Taps:569513";"Level 2";"Basic Wall:Interior - Partition (92mm Stud):214393";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
"VCC-00076";"001";"ARCH vs. MEP_Clash 26";"x:-35.616, y:51.441, z:2.983";"24/12/2014";"VCC-00076-00-001";"Pipe Types:Fire Protection:1002647";"Level 1";"Basic Wall:Interior - Rated 1-HR (92mm Stud):150741";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
"VCC-00077";"001";"ARCH vs. MEP_Clash 27";"x:-7.386, y:36.622, z:3.355";"24/12/2014";"VCC-00077-00-001";"Rectangular Duct:Mitered Elbows / Tees:570661";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):173265";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
"VCC-00078";"001";"ARCH vs. MEP_Clash 28";"x:-15.336, y:17.869, z:2.975";"24/12/2014";"VCC-00078-00-001";"Pipe Types:Fire Protection:1026124";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):182526";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"";"";"";"";"";"";"0"
"VCC-00079";"001";"ARCH vs. MEP_Clash 29";"x:-19.830, y:40.912, z:7.582";"24/12/2014";"VCC-00079-00-001";"Pipe Types:Fire Protection:1052320";"Level 2";"Basic Wall:Interior - Furring (38 mm Stud):194444";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"";"";"";"";"";"";"0"
"VCC-00080";"001";"ARCH vs. MEP_Clash 30";"x:-43.186, y:23.518, z:3.415";"24/12/2014";"VCC-00080-00-001";"Rectangular Duct:Mitered Elbows / Taps:567053";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):162757";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"";"";"";"";"";"";"0"
"VCC-00054";"001";"ARCH vs. MEP_Clash 4";"x:-20.236, y:20.637, z:3.000";"24/12/2014";"VCC-00054-00-001";"Pipe Types:Fire Protection:1001498";"Level 1";"Basic Wall:Interior - Furring (38 mm Stud):354853";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
"VCC-00081";"001";"ARCH vs. MEP_Clash 31";"x:-11.900, y:21.800, z:7.552";"24/12/2014";"VCC-00081-00-001";"Pipe Types:Fire Protection:1051118";"Level 2";"Basic Wall:Interior - Partition (92mm Stud):209550";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"";"";"";"";"";"";"0"
"VCC-00082";"001";"ARCH vs. MEP_Clash 32";"x:-27.170, y:36.005, z:3.420";"24/08/2014";"VCC-00082-00-001";"Rectangular Duct:Mitered Elbows / Taps:568305";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):157922";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"";"";"";"";"";"";"0"
"VCC-00083";"001";"ARCH vs. MEP_Clash 33";"x:-20.236, y:40.039, z:3.375";"24/08/2014";"VCC-00083-00-001";"Rectangular Duct:Mitered Elbows / Tees:566798";"Level 1";"Basic Wall:Interior - Furring (38 mm Stud):361861";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"";"";"";"";"";"";"0"
"VCC-00084";"001";"ARCH vs. MEP_Clash 34";"x:-26.064, y:14.292, z:8.117";"24/08/2014";"VCC-00084-00-001";"Round Duct:Taps / Short Radius:569581";"Level 2";"Basic Wall:Interior - Partition (92mm Stud):210458";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"";"";"";"";"";"";"0"
"VCC-00085";"001";"ARCH vs. MEP_Clash 35";"x:-40.413, y:42.732, z:3.710";"24/08/2014";"VCC-00085-00-001";"Rectangular Duct:Mitered Elbows / Tees:566708";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):366211";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"";"";"";"";"";"";"0"
"VCC-00086";"001";"ARCH vs. MEP_Clash 36";"x:-22.786, y:13.321, z:3.445";"24/08/2014";"VCC-00086-00-001";"Oval Duct:Mitered Elbows / Taps:567284";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):170601";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"";"";"";"";"";"";"0"
"VCC-00087";"001";"ARCH vs. MEP_Clash 37";"x:-23.019, y:5.910, z:3.375";"24/08/2014";"VCC-00087-00-001";"Rectangular Duct:Mitered Elbows / Tees:567393";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):185166";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"";"";"";"";"";"";"0"
"VCC-00088";"001";"ARCH vs. MEP_Clash 38";"x:-14.260, y:46.799, z:3.455";"24/08/2014";"VCC-00088-00-001";"Oval Duct:Gored Elbows / Tees:567892";"Level 1";"Basic Wall:Interior - Furring (38 mm Stud):171555";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"";"";"";"";"";"";"0"
"VCC-00089";"001";"ARCH vs. MEP_Clash 39";"x:-14.472, y:46.799, z:3.455";"24/08/2014";"VCC-00089-00-001";"Oval Duct:Gored Elbows / Tees:567892";"Level 1";"Basic Wall:Interior - Furring (152 mm Stud):171798";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"";"";"";"";"";"";"0"
"VCC-00090";"001";"ARCH vs. MEP_Clash 40";"x:-46.129, y:38.430, z:3.455";"24/08/2014";"VCC-00090-00-001";"Rectangular Duct:Radius Elbows / Tees:566707";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):160155";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"";"";"";"";"";"";"0"
"VCC-00055";"001";"ARCH vs. MEP_Clash 5";"x:-20.290, y:23.728, z:3.002";"24/12/2014";"VCC-00055-00-001";"Pipe Types:Fire Protection:1001738";"Level 1";"Basic Wall:Interior - Furring (38 mm Stud):354853";"Architekt, Antje, think project!";"Reviewed";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
"VCC-00091";"001";"ARCH vs. MEP_Clash 41";"x:-43.186, y:37.158, z:3.013";"24/08/2014";"VCC-00091-00-001";"Pipe Types:Vent:644486";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):159731";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"";"";"";"";"";"";"0"
"VCC-00092";"001";"ARCH vs. MEP_Clash 42";"x:-15.460, y:25.031, z:3.150";"24/08/2014";"VCC-00092-00-001";"Rectangular Duct:Mitered Elbows / Tees:566874";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):182526";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"";"";"";"";"";"";"0"
"VCC-00093";"001";"ARCH vs. MEP_Clash 43";"x:-14.314, y:49.208, z:3.465";"24/08/2014";"VCC-00093-00-001";"Rectangular Duct:Mitered Elbows / Tees:566718";"Level 1";"Basic Wall:Interior - Furring (38 mm Stud):171555";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"";"";"";"";"";"";"0"
"VCC-00094";"001";"ARCH vs. MEP_Clash 44";"x:-14.640, y:49.380, z:3.465";"24/08/2014";"VCC-00094-00-001";"Rectangular Duct:Mitered Elbows / Tees:566718";"Level 1";"Basic Wall:Interior - Furring (152 mm Stud):171798";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"";"";"";"";"";"";"0"
"VCC-00095";"001";"ARCH vs. MEP_Clash 45";"x:-18.120, y:46.479, z:3.463";"24/08/2014";"VCC-00095-00-001";"Oval Duct:Gored Elbows / Tees:567892";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):171321";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"";"";"";"";"";"";"0"
"VCC-00096";"001";"ARCH vs. MEP_Clash 46";"x:-7.510, y:42.615, z:3.479";"24/08/2014";"VCC-00096-00-001";"Round Duct:Taps / Short Radius:567909";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):173265";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"";"";"";"";"";"";"0"
"VCC-00097";"001";"ARCH vs. MEP_Clash 47";"x:-32.656, y:15.650, z:3.224";"24/08/2014";"VCC-00097-00-001";"Pipe Types:Hot Water:1124833";"Level 2";"Basic Wall:Interior - Partition (92mm Stud):170379";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"";"";"";"";"";"";"0"
"VCC-00098";"001";"ARCH vs. MEP_Clash 48";"x:-23.670, y:39.716, z:7.545";"24/08/2014";"VCC-00098-00-001";"Pipe Types:Fire Protection:1029516";"Level 2";"Basic Wall:Interior - Furring (38 mm Stud):219415";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"";"";"";"";"";"";"0"
"VCC-00099";"001";"ARCH vs. MEP_Clash 49";"x:-32.530, y:24.564, z:3.195";"24/08/2014";"VCC-00099-00-001";"Pipe Types:Hot Water:713797";"Level 2";"Basic Wall:Interior - Partition (92mm Stud):354436";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"";"";"";"";"";"";"0"
"VCC-00100";"001";"ARCH vs. MEP_Clash 50";"x:-45.438, y:49.070, z:3.490";"24/08/2014";"VCC-00100-00-001";"Rectangular Duct:Mitered Elbows / Taps:567201";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):148027";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"";"";"";"";"";"";"0"
"VCC-00056";"001";"ARCH vs. MEP_Clash 6";"x:-35.740, y:54.470, z:3.000";"24/12/2014";"VCC-00056-00-001";"Pipe Types:Fire Protection:1013667";"Level 1";"Basic Wall:Interior - Rated 1-HR (92mm Stud):150741";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
"VCC-00057";"001";"ARCH vs. MEP_Clash 7";"x:-22.786, y:13.837, z:3.064";"24/12/2014";"VCC-00057-00-001";"Pipe Types:Hot Water:1126399";"Level 2";"Basic Wall:Interior - Partition (92mm Stud):170601";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
"VCC-00058";"001";"ARCH vs. MEP_Clash 8";"x:-27.026, y:36.246, z:7.553";"24/12/2014";"VCC-00058-00-001";"Pipe Types:Fire Protection:1029440";"Level 2";"Basic Wall:Interior - Partition (92mm Stud):218812";"Architekt, Antje, think project!";"Active";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
"VCC-00059";"001";"ARCH vs. MEP_Clash 9";"x:-43.310, y:26.792, z:2.970";"24/12/2014";"VCC-00059-00-001";"Pipe Types:Fire Protection:1012837";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):162757";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
"VCC-00060";"001";"ARCH vs. MEP_Clash 10";"x:-43.186, y:36.246, z:2.982";"24/12/2014";"VCC-00060-00-001";"Pipe Types:Fire Protection:1013125";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):159731";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
