"Number";"Version";"ID";"Created_On";"Description";"Name";"Level";"LOD";"File";"Creator";"Project";"Revision";"Domain";"Status";"Zone"
"PMC-00148";"001";"PMC-00148-01-001";"02/09/2016";"testTunel_10km";"ADI_TPM_BU_ALL_ARC_600_01";"ALL";"600";"ADI_TPM_BU_ALL_ARC_600_01.ifc";"think project";"Adidas";"01";"Architecture";"shared";"BU-Building"
"PMC-00147";"001";"PMC-00147-01-001";"02/09/2016";"testTunel_5km";"ADI_TPM_BU_ALL_ARC_500_01";"ALL";"500";"ADI_TPM_BU_ALL_ARC_500_01.ifc";"think project";"Adidas";"01";"Architecture";"shared";"BU-Building"
"PMC-00146";"001";"PMC-00146-01-001";"02/09/2016";"testTunnel_2km";"ADI_TPM_BU_ALL_ARC_200_01";"ALL";"200";"ADI_TPM_BU_ALL_ARC_200_01.ifc";"think project";"Adidas";"01";"Architecture";"shared";"BU-Building"
"PMC-00145";"001";"PMC-00145-01-001";"02/09/2016";"tunnel_1km";"ADI_TPM_BU_ALL_ARC_100_01";"ALL";"100";"ADI_TPM_BU_ALL_ARC_100_01.ifc";"think project";"Adidas";"01";"Architecture";"shared";"BU-Building"
"PMC-00144";"001";"PMC-00144-09-001";"25/08/2016";"bim_1170_test4";"ADI_TPM_BU_ALL_ARC_300_09";"ALL";"300";"ADI_TPM_BU_ALL_ARC_300_09.ifc";"think project";"Adidas";"09";"Architecture";"shared";"BU-Building"
"PMC-00143";"001";"PMC-00143-06-001";"25/08/2016";"bim_1170_test4";"ADI_TPM_BU_ALL_ARC_100_06";"ALL";"100";"ADI_TPM_BU_ALL_ARC_100_06.ifc";"think project";"Adidas";"06";"Architecture";"shared";"BU-Building"
"PMC-00142";"001";"PMC-00142-06-001";"24/08/2016";"bim_1170_experimental";"ADI_TPM_BU_ALL_ARC_100_06";"ALL";"100";"ADI_TPM_BU_ALL_ARC_100_06.ifc";"think project";"Adidas";"06";"Architecture";"shared";"BU-Building"
"PMC-00141";"001";"PMC-00141-09-001";"24/08/2016";"bim_1170_experimental";"ADI_TPM_BU_ALL_ARC_300_09";"ALL";"300";"ADI_TPM_BU_ALL_ARC_300_09.ifc";"think project";"Adidas";"09";"Architecture";"shared";"BU-Building"
"PMC-00140";"001";"PMC-00140-01-001";"24/08/2016";"bim_1170_3";"CLI_TPM_BU_ALL_ARC_200_01";"ALL";"200";"CLI_TPM_BU_ALL_ARC_200_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"BU-Building"
"PMC-00139";"001";"PMC-00139-07-001";"24/08/2016";"bim_1170_2";"ADI_TPM_BU_ALL_ARC_400_07";"ALL";"400";"ADI_TPM_BU_ALL_ARC_400_07.ifc";"think project";"Adidas";"07";"Architecture";"shared";"BU-Building"
"PMC-00138";"001";"PMC-00138-10-001";"24/08/2016";"bim_1170_2";"ADI_TPM_BU_ALL_ARC_200_10";"ALL";"200";"ADI_TPM_BU_ALL_ARC_200_10.ifc";"think project";"Adidas";"10";"Architecture";"shared";"BU-Building"
"PMC-00137";"001";"PMC-00137-10-001";"24/08/2016";"test large coordinates[BIM-1170 experimental]";"ADI_TPM_BU_ALL_ARC_200_10";"ALL";"200";"ADI_TPM_BU_ALL_ARC_200_10.ifc";"think project";"Adidas";"10";"Architecture";"shared";"BU-Building"
"PMC-00136";"001";"PMC-00136-07-001";"24/08/2016";"test large coordinates[BIM_1170]";"ADI_TPM_BU_ALL_ARC_400_07";"ALL";"400";"ADI_TPM_BU_ALL_ARC_400_07.ifc";"think project";"Adidas";"07";"Architecture";"shared";"BU-Building"
"PMC-00135";"001";"PMC-00135-10-001";"22/08/2016";"";"CLI_TPM_AT_ALL_ARC_600_10";"ALL";"600";"CLI_TPM_AT_ALL_ARC_600_10.ifc";"think project";"Klinik";"10";"Architecture";"shared";"AT-Atrium"
"PMC-00134";"001";"PMC-00134-10-001";"22/08/2016";"";"CLI_TPM_AT_ALL_ARC_500_10";"ALL";"500";"CLI_TPM_AT_ALL_ARC_500_10.ifc";"think project";"Klinik";"10";"Architecture";"in progress";"AT-Atrium"
"PMC-00133";"001";"PMC-00133-01-001";"17/08/2016";"test sed data generation 18Aug(2)";"CLI_TPM_AT_ALL_ARC_500_01";"ALL";"500";"CLI_TPM_AT_ALL_ARC_500_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"AT-Atrium"
"PMC-00132";"001";"PMC-00132-01-001";"17/08/2016";"test sed data generation 18Aug";"CLI_TPM_AT_ALL_ARC_500_01";"ALL";"500";"CLI_TPM_AT_ALL_ARC_500_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"AT-Atrium"
"PMC-00131";"001";"PMC-00131-01-001";"12/08/2016";"test sed data generetion";"CLI_TPM_AT_ALL_ARC_600_01";"ALL";"600";"CLI_TPM_AT_ALL_ARC_600_01.ifc";"think project";"Klinik";"01";"Architecture";"published";"AT-Atrium"
"PMC-00130";"001";"PMC-00130-01-001";"12/08/2016";"sed data generation";"CLI_TPM_AT_ALL_ARC_700_01";"ALL";"700";"CLI_TPM_AT_ALL_ARC_700_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"AT-Atrium"
"PMC-00129";"001";"PMC-00129-01-001";"12/08/2016";"test sed data generation";"CLI_TPM_AT_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_AT_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"AT-Atrium"
"PMC-00128";"001";"PMC-00128-01-001";"10/07/2016";"bim-959-test9";"CLI_TPM_BU_ALL_STR_400_01";"ALL";"400";"CLI_TPM_BU_ALL_STR_400_01.ifc";"think project";"Klinik";"01";"Structure";"shared";"BU-Building"
"PMC-00127";"001";"PMC-00127-01-001";"10/07/2016";"bim-959-test8";"CLI_TPM_WE_ALL_MEP_400_01";"ALL";"400";"CLI_TPM_WE_ALL_MEP_400_01.ifc";"think project";"Klinik";"01";"MEP";"shared";"WE-West"
"PMC-00126";"001";"PMC-00126-01-001";"10/07/2016";"bim_959_test7";"CLI_TPM_WW_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_WW_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"WW-West  Wing"
"PMC-00125";"001";"PMC-00125-02-001";"10/07/2016";"bim-959-test6";"CLI_TPM_WW_ALL_ARC_400_02";"ALL";"400";"CLI_TPM_WW_ALL_ARC_400_02.ifc";"think project";"Klinik";"02";"Architecture";"shared";"WW-West  Wing"
"PMC-00124";"001";"PMC-00124-01-001";"10/07/2016";"bim-959-test5";"CLI_TPM_WW_ALL_ARC_300_01";"ALL";"300";"CLI_TPM_WW_ALL_ARC_300_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"WW-West  Wing"
"PMC-00123";"001";"PMC-00123-01-001";"10/07/2016";"bim-959-test3";"CLI_TPM_WW_ALL_ARC_800_01";"ALL";"800";"CLI_TPM_WW_ALL_ARC_800_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"WW-West  Wing"
"PMC-00122";"001";"PMC-00122-01-001";"10/07/2016";"bim_959_test1";"CLI_TPM_WW_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_WW_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"WW-West  Wing"
"PMC-00121";"001";"PMC-00121-01-001";"10/07/2016";"bim_1055_test5";"CLI_TPM_BU_ALL_STR_400_01";"ALL";"400";"CLI_TPM_BU_ALL_STR_400_01.ifc";"think project";"Klinik";"01";"Structure";"shared";"BU-Building"
"PMC-00120";"001";"PMC-00120-01-001";"09/07/2016";"BIM_1055_test4";"CLI_TPM_WW_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_WW_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"WW-West  Wing"
"PMC-00119";"001";"PMC-00119-01-001";"08/07/2016";"bim-1055_test4";"CLI_TPM_WE_ALL_MEP_400_01";"ALL";"400";"CLI_TPM_WE_ALL_MEP_400_01.ifc";"think project";"Klinik";"01";"MEP";"shared";"WE-West"
"PMC-00118";"001";"PMC-00118-02-001";"08/07/2016";"";"CLI_TPM_WW_ALL_ARC_700_02";"ALL";"700";"CLI_TPM_WW_ALL_ARC_700_02.ifc";"think project";"Klinik";"02";"Architecture";"published";"WW-West  Wing"
"PMC-00117";"001";"PMC-00117-01-001";"08/07/2016";"BIM_1055_test3";"CLI_TPM_WW_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_WW_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"WW-West  Wing"
"PMC-00116";"001";"PMC-00116-01-001";"06/07/2016";"bim_1055_test3";"CLI_TPM_WW_ALL_ARC_700_01";"ALL";"700";"CLI_TPM_WW_ALL_ARC_700_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"WW-West  Wing"
"PMC-00115";"001";"PMC-00115-01-001";"06/07/2016";"BIM_1055_test2";"CLI_TPM_WW_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_WW_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"WW-West  Wing"
"PMC-00114";"001";"PMC-00114-01-001";"06/07/2016";"BIM_1055_test";"CLI_TPM_WW_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_WW_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"published";"WW-West  Wing"
"PMC-00071";"002";"PMC-00071-10-002";"30/05/2016";"";"CLI_TPM_EW_ALL_ARC_300_10";"ALL";"300";"CLI_TPM_EW_ALL_ARC_300_10.ifc";"think project";"Klinik";"10";"Architecture";"shared";"EW-East Wing"
"PMC-00113";"001";"PMC-00113-10-001";"22/04/2016";"";"CLI_TPM_AT_ALL_ARC_200_10";"ALL";"200";"CLI_TPM_AT_ALL_ARC_200_10.ifc";"think project";"Klinik";"10";"Architecture";"in progress";"AT-Atrium"
"PMC-00112";"001";"PMC-00112-03-001";"18/04/2016";"";"KLE_TPM_BU_ALL_ARC_100_03";"ALL";"100";"KLE_TPM_BU_ALL_ARC_100_03.ifc";"think project";"Klebl";"03";"Architecture";"in progress";"BU-Building"
"PMC-00111";"001";"PMC-00111-01-001";"18/04/2016";"";"KLE_TPM_BU_ALL_ARC_200_01";"ALL";"200";"KLE_TPM_BU_ALL_ARC_200_01.ifc";"think project";"Klebl";"01";"Architecture";"in progress";"BU-Building"
"PMC-00110";"001";"PMC-00110-03-001";"18/04/2016";"";"KLE_TPM_BU_ALL_ARC_100_03";"ALL";"100";"KLE_TPM_BU_ALL_ARC_100_03.ifc";"think project";"Klebl";"03";"Architecture";"in progress";"BU-Building"
"PMC-00109";"001";"PMC-00109-08-001";"17/04/2016";"";"ADI_TPM_BU_ALL_ARC_300_08";"ALL";"300";"ADI_TPM_BU_ALL_ARC_300_08.ifc";"think project";"Adidas";"08";"Architecture";"in progress";"BU-Building"
"PMC-00108";"001";"PMC-00108-05-001";"15/04/2016";"";"KLE_TPM_BU_ALL_ARC_100_05";"ALL";"100";"KLE_TPM_BU_ALL_ARC_100_05.ifc";"think project";"Klebl";"05";"Architecture";"in progress";"BU-Building"
"PMC-00107";"001";"PMC-00107-04-001";"15/04/2016";"";"KLE_TPM_BU_ALL_ARC_100_04";"ALL";"100";"KLE_TPM_BU_ALL_ARC_100_04.ifc";"think project";"Klebl";"04";"Architecture";"in progress";"BU-Building"
"PMC-00106";"001";"PMC-00106-03-001";"15/04/2016";"";"KLE_TPM_BU_ALL_ARC_100_03";"ALL";"100";"KLE_TPM_BU_ALL_ARC_100_03.ifc";"think project";"Klebl";"03";"Architecture";"in progress";"BU-Building"
"PMC-00105";"001";"PMC-00105-07-001";"14/04/2016";"";"CLI_TPM_BU_ALL_ARC_400_07";"ALL";"400";"CLI_TPM_BU_ALL_ARC_400_07.ifc";"think project";"Klinik";"07";"Architecture";"shared";"BU-Building"
"PMC-00104";"001";"PMC-00104-06-001";"13/04/2016";"";"CLI_TPM_BU_ALL_ARC_400_06";"ALL";"400";"CLI_TPM_BU_ALL_ARC_400_06.ifc";"think project";"Klinik";"06";"Architecture";"shared";"BU-Building"
"PMC-00103";"001";"PMC-00103-10-001";"12/04/2016";"";"ADI_TPM_BU_ALL_ARC_200_10";"ALL";"200";"ADI_TPM_BU_ALL_ARC_200_10.ifc";"think project";"Adidas";"10";"Architecture";"in progress";"BU-Building"
"PMC-00102";"001";"PMC-00102-07-001";"12/04/2016";"";"ADI_TPM_BU_ALL_ARC_400_07";"ALL";"400";"ADI_TPM_BU_ALL_ARC_400_07.ifc";"think project";"Adidas";"07";"Architecture";"in progress";"BU-Building"
"PMC-00101";"001";"PMC-00101-08-001";"12/04/2016";"";"ADI_TPM_BU_ALL_ARC_300_08";"ALL";"300";"ADI_TPM_BU_ALL_ARC_300_08.ifc";"think project";"Adidas";"08";"Architecture";"in progress";"BU-Building"
"PMC-00100";"001";"PMC-00100-09-001";"12/04/2016";"";"ADI_TPM_BU_ALL_ARC_100_09";"ALL";"100";"ADI_TPM_BU_ALL_ARC_100_09.ifc";"think project";"Adidas";"09";"Architecture";"in progress";"BU-Building"
"PMC-00096";"001";"PMC-00096-06-001";"11/04/2016";"Modell - 5";"ADI_TPM_BU_ALL_ARC_100_06";"ALL";"100";"ADI_TPM_BU_ALL_ARC_100_06.ifc";"think project";"Adidas";"06";"Architecture";"shared";"BU-Building"
"PMC-00097";"001";"PMC-00097-07-001";"11/04/2016";"Modell - 6";"ADI_TPM_BU_ALL_ARC_200_07";"ALL";"200";"ADI_TPM_BU_ALL_ARC_200_07.ifc";"think project";"Adidas";"07";"Architecture";"shared";"BU-Building"
"PMC-00098";"001";"PMC-00098-08-001";"11/04/2016";"Modell - 7";"ADI_TPM_BU_ALL_ARC_300_08";"ALL";"300";"ADI_TPM_BU_ALL_ARC_300_08.ifc";"think project";"Adidas";"08";"Architecture";"shared";"BU-Building"
"PMC-00099";"001";"PMC-00099-09-001";"11/04/2016";"Modell - 8";"ADI_TPM_BU_ALL_ARC_400_09";"ALL";"400";"ADI_TPM_BU_ALL_ARC_400_09.ifc";"think project";"Adidas";"09";"Architecture";"shared";"BU-Building"
"PMC-00092";"001";"PMC-00092-01-001";"11/04/2016";"";"ADI_TPM_BU_ALL_ARC_100_01";"ALL";"100";"ADI_TPM_BU_ALL_ARC_100_01.ifc";"think project";"Adidas";"01";"Architecture";"in progress";"BU-Building"
"PMC-00093";"001";"PMC-00093-02-001";"11/04/2016";"";"ADI_TPM_BU_ALL_ARC_200_02";"ALL";"200";"ADI_TPM_BU_ALL_ARC_200_02.ifc";"think project";"Adidas";"02";"Architecture";"in progress";"BU-Building"
"PMC-00094";"001";"PMC-00094-03-001";"11/04/2016";"";"ADI_TPM_BU_ALL_ARC_300_03";"ALL";"300";"ADI_TPM_BU_ALL_ARC_300_03.ifc";"think project";"Adidas";"03";"Architecture";"in progress";"BU-Building"
"PMC-00095";"001";"PMC-00095-04-001";"11/04/2016";"";"ADI_TPM_BU_ALL_ARC_400_04";"ALL";"400";"ADI_TPM_BU_ALL_ARC_400_04.ifc";"think project";"Adidas";"04";"Architecture";"in progress";"BU-Building"
"PMC-00082";"001";"PMC-00082-01-001";"29/03/2016";"15011-B-C210-TM-XX-000-0001-000";"KLE_TPM_BU_ALL_ARC_500_01";"ALL";"500";"KLE_TPM_BU_ALL_ARC_500_01.ifc";"think project";"Klebl";"01";"Architecture";"shared";"BU-Building"
"PMC-00083";"001";"PMC-00083-02-001";"29/03/2016";"15011-B-C220-TM-O1-000-0001-000";"KLE_TPM_BU_ALL_ARC_500_02";"ALL";"500";"KLE_TPM_BU_ALL_ARC_500_02.ifc";"think project";"Klebl";"02";"Architecture";"shared";"BU-Building"
"PMC-00084";"001";"PMC-00084-03-001";"29/03/2016";"15011-B-C220-TM-O2-000-0001-000";"KLE_TPM_BU_ALL_ARC_500_03";"ALL";"500";"KLE_TPM_BU_ALL_ARC_500_03.ifc";"think project";"Klebl";"03";"Architecture";"shared";"BU-Building"
"PMC-00085";"001";"PMC-00085-04-001";"29/03/2016";"15011-B-C220-TM-O3-000-0001-000";"KLE_TPM_BU_ALL_ARC_500_04";"ALL";"500";"KLE_TPM_BU_ALL_ARC_500_04.ifc";"think project";"Klebl";"04";"Architecture";"shared";"BU-Building"
"PMC-00086";"001";"PMC-00086-05-001";"29/03/2016";"15011-B-C220-TM-ST-000-0001-000";"KLE_TPM_BU_ALL_ARC_500_05";"ALL";"500";"KLE_TPM_BU_ALL_ARC_500_05.ifc";"think project";"Klebl";"05";"Architecture";"shared";"BU-Building"
"PMC-00087";"001";"PMC-00087-06-001";"29/03/2016";"15011-B-C220-TM-UG-000-0001-000";"KLE_TPM_BU_ALL_ARC_500_06";"ALL";"500";"KLE_TPM_BU_ALL_ARC_500_06.ifc";"think project";"Klebl";"06";"Architecture";"shared";"BU-Building"
"PMC-00088";"001";"PMC-00088-07-001";"29/03/2016";"15011-B-C220-TM-WA-000-0001-000";"KLE_TPM_BU_ALL_ARC_500_07";"ALL";"500";"KLE_TPM_BU_ALL_ARC_500_07.ifc";"think project";"Klebl";"07";"Architecture";"shared";"BU-Building"
"PMC-00089";"001";"PMC-00089-08-001";"29/03/2016";"15011-B-C220-TM-WA-C56-0001-000";"KLE_TPM_BU_ALL_ARC_500_08";"ALL";"500";"KLE_TPM_BU_ALL_ARC_500_08.ifc";"think project";"Klebl";"08";"Architecture";"shared";"BU-Building"
"PMC-00090";"001";"PMC-00090-09-001";"29/03/2016";"15011-B-C220-TM-WA-C56-0002-000";"KLE_TPM_BU_ALL_ARC_500_09";"ALL";"500";"KLE_TPM_BU_ALL_ARC_500_09.ifc";"think project";"Klebl";"09";"Architecture";"shared";"BU-Building"
"PMC-00091";"001";"PMC-00091-10-001";"29/03/2016";"15011-B-C220-TM-WA-E23-0001-000";"KLE_TPM_BU_ALL_ARC_500_10";"ALL";"500";"KLE_TPM_BU_ALL_ARC_500_10.ifc";"think project";"Klebl";"10";"Architecture";"shared";"BU-Building"
"PMC-00081";"001";"PMC-00081-03-001";"28/03/2016";"Test flux elementParentsStore";"PRE_TPM_BU_ALL_ARC_500_03";"ALL";"500";"PRE_TPM_BU_ALL_ARC_500_03.ifc";"think project";"Preprocessing";"03";"Architecture";"published";"BU-Building"
"PMC-00080";"001";"PMC-00080-02-001";"24/03/2016";"";"PRE_TPM_BU_ALL_ARC_500_02";"ALL";"500";"PRE_TPM_BU_ALL_ARC_500_02.ifc";"think project";"Preprocessing";"02";"Architecture";"shared";"BU-Building"
"PMC-00079";"001";"PMC-00079-06-001";"18/03/2016";"";"CLI_TPM_BU_ALL_ARC_400_06";"ALL";"400";"CLI_TPM_BU_ALL_ARC_400_06.ifc";"think project";"Klinik";"06";"Architecture";"in progress";"BU-Building"
"PMC-00078";"001";"PMC-00078-06-001";"18/03/2016";"";"CLI_TPM_BU_ALL_ARC_600_06";"ALL";"600";"CLI_TPM_BU_ALL_ARC_600_06.ifc";"think project";"Klinik";"06";"Architecture";"in progress";"BU-Building"
"PMC-00076";"001";"PMC-00076-02-001";"04/01/2016";"";"CLI_TPM_BU_ALL_ARC_200_02";"ALL";"200";"CLI_TPM_BU_ALL_ARC_200_02.ifc";"think project";"Klinik";"02";"Architecture";"published";"BU-Building"
"PMC-00075";"001";"PMC-00075-01-001";"04/01/2016";"";"CLI_TPM_BU_ALL_ARC_100_01";"ALL";"100";"CLI_TPM_BU_ALL_ARC_100_01.ifc";"think project";"Klinik";"01";"Architecture";"published";"BU-Building"
"PMC-00074";"001";"PMC-00074-05-001";"16/11/2015";"";"CLI_TPM_BU_ALL_ARC_400_05";"ALL";"400";"CLI_TPM_BU_ALL_ARC_400_05.ifc";"think project";"Klinik";"05";"Architecture";"in progress";"BU-Building"
"PMC-00073";"001";"PMC-00073-10-001";"13/11/2015";"";"CLI_TPM_AT_ALL_ARC_400_10";"ALL";"400";"CLI_TPM_AT_ALL_ARC_400_10.ifc";"think project";"Klinik";"10";"Architecture";"shared";"AT-Atrium"
"PMC-00072";"001";"PMC-00072-02-001";"12/11/2015";"";"AQP_TPM_EA_ALL_MEP_700_02";"ALL";"700";"AQP_TPM_EA_ALL_MEP_700_02.ifc";"think project";"Aquapark";"02";"MEP";"published";"EA-East"
"PMC-00071";"001";"PMC-00071-10-001";"12/11/2015";"";"CLI_TPM_EW_ALL_ARC_300_10";"ALL";"300";"CLI_TPM_EW_ALL_ARC_300_10.ifc";"think project";"Klinik";"10";"Architecture";"published";"EW-East Wing"
"PMC-00070";"001";"PMC-00070-10-001";"12/11/2015";"";"CLI_TPM_EW_ALL_ARC_500_10";"ALL";"500";"CLI_TPM_EW_ALL_ARC_500_10.ifc";"think project";"Klinik";"10";"Architecture";"shared";"EW-East Wing"
"PMC-00069";"001";"PMC-00069-01-001";"12/11/2015";"";"CLI_TPM_EW_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_EW_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"in progress";"EW-East Wing"
"PMC-00068";"001";"PMC-00068-01-001";"22/10/2015";"";"PRE_TPM_BU_ALL_ARC_600_01";"ALL";"600";"PRE_TPM_BU_ALL_ARC_600_01.ifc";"think project";"Preprocessing";"01";"Architecture";"shared";"BU-Building"
"PMC-00066";"001";"PMC-00066-01-001";"16/10/2015";"";"DBA_TPM_BU_ALL_ARC_100_01";"ALL";"100";"DBA_TPM_BU_ALL_ARC_100_01.ifc";"think project";"Deutsche Bahn";"01";"Architecture";"shared";"BU-Building"
"PMC-00067";"001";"PMC-00067-01-001";"16/10/2015";"";"DBA_TPM_BU_ALL_ARC_200_01";"ALL";"200";"DBA_TPM_BU_ALL_ARC_200_01.ifc";"think project";"Deutsche Bahn";"01";"Architecture";"shared";"BU-Building"
"PMC-00064";"001";"PMC-00064-01-001";"02/10/2015";"";"AQP_TPM_BU_ALL_ARC_100_01";"ALL";"100";"AQP_TPM_BU_ALL_ARC_100_01.ifc";"think project";"Aquapark";"01";"Architecture";"shared";"BU-Building"
"PMC-00065";"001";"PMC-00065-01-001";"02/10/2015";"";"AQP_TPM_BU_ALL_ARC_200_01";"ALL";"200";"AQP_TPM_BU_ALL_ARC_200_01.ifc";"think project";"Aquapark";"01";"Architecture";"shared";"BU-Building"
"PMC-00061";"001";"PMC-00061-01-001";"29/09/2015";"";"PRE_TPM_BU_ALL_ELE_400_01";"ALL";"400";"PRE_TPM_BU_ALL_ELE_400_01.ifc";"think project";"Preprocessing";"01";"Electrical";"shared";"BU-Building"
"PMC-00062";"001";"PMC-00062-01-001";"29/09/2015";"";"PRE_TPM_BU_ALL_MEP_400_01";"ALL";"400";"PRE_TPM_BU_ALL_MEP_400_01.ifc";"think project";"Preprocessing";"01";"MEP";"shared";"BU-Building"
"PMC-00063";"001";"PMC-00063-01-001";"29/09/2015";"";"PRE_TPM_BU_ALL_PLU_400_01";"ALL";"400";"PRE_TPM_BU_ALL_PLU_400_01.ifc";"think project";"Preprocessing";"01";"Plumbing";"shared";"BU-Building"
"PMC-00060";"001";"PMC-00060-01-001";"29/09/2015";"";"PRE_TPM_BU_ALL_ARC_400_01";"ALL";"400";"PRE_TPM_BU_ALL_ARC_400_01.ifc";"think project";"Preprocessing";"01";"Architecture";"shared";"BU-Building"
"PMC-00059";"001";"PMC-00059-02-001";"02/09/2015";"";"CLI_TPM_EW_ALL_ARC_400_02";"ALL";"400";"CLI_TPM_EW_ALL_ARC_400_02.ifc";"think project";"Klinik";"02";"Architecture";"shared";"EW-East Wing"
"PMC-00056";"001";"PMC-00056-01-001";"31/08/2015";"";"PRE_TPM_BU_ALL_ARC_100_01";"ALL";"100";"PRE_TPM_BU_ALL_ARC_100_01.ifc";"think project";"Preprocessing";"01";"Architecture";"shared";"BU-Building"
"PMC-00057";"001";"PMC-00057-01-001";"31/08/2015";"";"PRE_TPM_BU_ALL_ARC_200_01";"ALL";"200";"PRE_TPM_BU_ALL_ARC_200_01.ifc";"think project";"Preprocessing";"01";"Architecture";"shared";"BU-Building"
"PMC-00058";"001";"PMC-00058-01-001";"31/08/2015";"";"PRE_TPM_BU_ALL_ARC_600_01";"ALL";"600";"PRE_TPM_BU_ALL_ARC_600_01.ifc";"think project";"Preprocessing";"01";"Architecture";"shared";"BU-Building"
"PMC-00002";"002";"PMC-00002-01-002";"25/08/2015";"MEP model for east section";"CLI_TPM_EA_ALL_MEP_400_01";"ALL";"400";"CLI_TPM_EA_ALL_MEP_400_01.ifc";"think project";"Klinik";"01";"MEP";"published";"EA-East"
"PMC-00006";"004";"PMC-00006-01-004";"24/08/2015";"Architecture model for west wing section";"CLI_TPM_WW_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_WW_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"WW-West  Wing"
"PMC-00053";"001";"PMC-00053-01-001";"24/06/2015";"";"TRU_TPM_BU_ALL_ARC_400_01";"ALL";"400";"TRU_TPM_BU_ALL_ARC_400_01.ifc";"think project";"Trumpf";"01";"Architecture";"in progress";"BU-Building"
