"BASIS number";"BASIS version";"BIM_Name";"CS Clash Group";"CS Clash Name";"CS Clash Version";"CS Tolerance";"Clash ID BIM";"Clash Point";"DL";"Days";"Deadline";"Description";"Distance";"Grid Location";"ID";"Item 1 ID";"Item 1 Layer";"Item 2 ID";"Item 2 Layer";"Name";"Responsible";"Status";"Support by";"Thumbnail";"View Position";"View Rotation"
"VCC-00068";"001";"ARCH vs. MEP_Clash 18";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1041";"x:-35.729, y:41.458, z:7.972";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.178";"";"VCC-00068-00-001";"Oval Duct:Gored Elbows / Tees:569059";"Level 2";"Basic Wall:Interior - Partition (92mm Stud):217124";"Second Floor";"ARCH vs. MEP_Clash 18";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"cd000018.jpg";"";""
"VCC-00069";"001";"ARCH vs. MEP_Clash 19";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1042";"x:-19.830, y:24.132, z:7.973";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.178";"";"VCC-00069-00-001";"Round Duct:Taps / Short Radius:569554";"Level 2";"Basic Wall:Interior - Furring (38 mm Stud):379832";"Second Floor";"ARCH vs. MEP_Clash 19";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"cd000019.jpg";"";""
"VCC-00070";"001";"ARCH vs. MEP_Clash 20";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1043";"x:-20.236, y:24.129, z:7.973";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.178";"";"VCC-00070-00-001";"Round Duct:Taps / Short Radius:569554";"Level 2";"Basic Wall:Interior - Furring (38 mm Stud):379701";"Second Floor";"ARCH vs. MEP_Clash 20";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"cd000020.jpg";"";""
"VCC-00053";"001";"ARCH vs. MEP_Clash 3";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1026";"x:-43.478, y:16.832, z:2.985";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.483";"";"VCC-00053-00-001";"Pipe Types:Fire Protection:1014044";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):164520";"First Floor";"ARCH vs. MEP_Clash 3";"Architekt, Antje, think project!";"Approved";"Haustechnik, Helga, think project!";"cd000003.jpg";"";""
"VCC-00071";"001";"ARCH vs. MEP_Clash 21";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1044";"x:-20.236, y:39.489, z:2.975";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.143";"";"VCC-00071-00-001";"Pipe Types:Fire Protection:1002499";"Level 1";"Basic Wall:Interior - Furring (38 mm Stud):361861";"First Floor";"ARCH vs. MEP_Clash 21";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"cd000021.jpg";"";""
"VCC-00072";"001";"ARCH vs. MEP_Clash 22";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1045";"x:-15.336, y:18.836, z:2.922";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.129";"";"VCC-00072-00-001";"Pipe Types:Vent:643389";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):182526";"First Floor";"ARCH vs. MEP_Clash 22";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"cd000022.jpg";"";""
"VCC-00073";"001";"ARCH vs. MEP_Clash 23";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1046";"x:-44.729, y:25.084, z:3.340";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.128";"";"VCC-00073-00-001";"Rectangular Duct:Radius Elbows / Taps:566752";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):162361";"First Floor";"ARCH vs. MEP_Clash 23";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"cd000023.jpg";"";""
"VCC-00074";"001";"ARCH vs. MEP_Clash 24";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1047";"x:-22.910, y:16.498, z:2.975";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.125";"";"VCC-00074-00-001";"Pipe Types:Fire Protection:1001445";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):170601";"First Floor";"ARCH vs. MEP_Clash 24";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"cd000024.jpg";"";""
"VCC-00075";"001";"ARCH vs. MEP_Clash 25";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1048";"x:-33.320, y:20.794, z:8.032";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.124";"";"VCC-00075-00-001";"Oval Duct:Mitered Elbows / Taps:569513";"Level 2";"Basic Wall:Interior - Partition (92mm Stud):214393";"Second Floor";"ARCH vs. MEP_Clash 25";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"cd000025.jpg";"";""
"VCC-00076";"001";"ARCH vs. MEP_Clash 26";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1049";"x:-35.616, y:51.441, z:2.983";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.121";"";"VCC-00076-00-001";"Pipe Types:Fire Protection:1002647";"Level 1";"Basic Wall:Interior - Rated 1-HR (92mm Stud):150741";"First Floor";"ARCH vs. MEP_Clash 26";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"cd000026.jpg";"";""
"VCC-00077";"001";"ARCH vs. MEP_Clash 27";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1050";"x:-7.386, y:36.622, z:3.355";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.113";"";"VCC-00077-00-001";"Rectangular Duct:Mitered Elbows / Tees:570661";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):173265";"First Floor";"ARCH vs. MEP_Clash 27";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"cd000027.jpg";"";""
"VCC-00078";"001";"ARCH vs. MEP_Clash 28";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1051";"x:-15.336, y:17.869, z:2.975";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.101";"";"VCC-00078-00-001";"Pipe Types:Fire Protection:1026124";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):182526";"First Floor";"ARCH vs. MEP_Clash 28";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"cd000028.jpg";"";""
"VCC-00079";"001";"ARCH vs. MEP_Clash 29";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1052";"x:-19.830, y:40.912, z:7.582";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.057";"";"VCC-00079-00-001";"Pipe Types:Fire Protection:1052320";"Level 2";"Basic Wall:Interior - Furring (38 mm Stud):194444";"Second Floor";"ARCH vs. MEP_Clash 29";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"cd000029.jpg";"";""
"VCC-00080";"001";"ARCH vs. MEP_Clash 30";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1053";"x:-43.186, y:23.518, z:3.415";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.053";"";"VCC-00080-00-001";"Rectangular Duct:Mitered Elbows / Taps:567053";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):162757";"First Floor";"ARCH vs. MEP_Clash 30";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"cd000030.jpg";"";""
"VCC-00054";"001";"ARCH vs. MEP_Clash 4";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1027";"x:-20.236, y:20.637, z:3.000";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.445";"";"VCC-00054-00-001";"Pipe Types:Fire Protection:1001498";"Level 1";"Basic Wall:Interior - Furring (38 mm Stud):354853";"First Floor";"ARCH vs. MEP_Clash 4";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"cd000004.jpg";"";""
"VCC-00081";"001";"ARCH vs. MEP_Clash 31";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1054";"x:-11.900, y:21.800, z:7.552";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.051";"";"VCC-00081-00-001";"Pipe Types:Fire Protection:1051118";"Level 2";"Basic Wall:Interior - Partition (92mm Stud):209550";"Second Floor";"ARCH vs. MEP_Clash 31";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"cd000031.jpg";"";""
"VCC-00082";"001";"ARCH vs. MEP_Clash 32";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1055";"x:-27.170, y:36.005, z:3.420";"24/08/2014";"24/08/2014";"24/08/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.048";"";"VCC-00082-00-001";"Rectangular Duct:Mitered Elbows / Taps:568305";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):157922";"First Floor";"ARCH vs. MEP_Clash 32";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"cd000032.jpg";"";""
"VCC-00083";"001";"ARCH vs. MEP_Clash 33";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1056";"x:-20.236, y:40.039, z:3.375";"24/08/2014";"24/08/2014";"24/08/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.036";"";"VCC-00083-00-001";"Rectangular Duct:Mitered Elbows / Tees:566798";"Level 1";"Basic Wall:Interior - Furring (38 mm Stud):361861";"First Floor";"ARCH vs. MEP_Clash 33";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"cd000033.jpg";"";""
"VCC-00084";"001";"ARCH vs. MEP_Clash 34";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1057";"x:-26.064, y:14.292, z:8.117";"24/08/2014";"24/08/2014";"24/08/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.031";"";"VCC-00084-00-001";"Round Duct:Taps / Short Radius:569581";"Level 2";"Basic Wall:Interior - Partition (92mm Stud):210458";"Second Floor";"ARCH vs. MEP_Clash 34";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"cd000034.jpg";"";""
"VCC-00085";"001";"ARCH vs. MEP_Clash 35";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1058";"x:-40.413, y:42.732, z:3.710";"24/08/2014";"24/08/2014";"24/08/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.028";"";"VCC-00085-00-001";"Rectangular Duct:Mitered Elbows / Tees:566708";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):366211";"First Floor";"ARCH vs. MEP_Clash 35";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"cd000035.jpg";"";""
"VCC-00086";"001";"ARCH vs. MEP_Clash 36";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1059";"x:-22.786, y:13.321, z:3.445";"24/08/2014";"24/08/2014";"24/08/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.028";"";"VCC-00086-00-001";"Oval Duct:Mitered Elbows / Taps:567284";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):170601";"First Floor";"ARCH vs. MEP_Clash 36";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"cd000036.jpg";"";""
"VCC-00087";"001";"ARCH vs. MEP_Clash 37";"Group2";"ARCH vs. MEP";"";"0.1";"Clash #1060";"x:-23.019, y:5.910, z:3.375";"24/08/2014";"24/08/2014";"24/08/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.028";"";"VCC-00087-00-001";"Rectangular Duct:Mitered Elbows / Tees:567393";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):185166";"First Floor";"ARCH vs. MEP_Clash 37";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"cd000037.jpg";"";""
"VCC-00088";"001";"ARCH vs. MEP_Clash 38";"Group2";"ARCH vs. MEP";"";"0.1";"Clash #1061";"x:-14.260, y:46.799, z:3.455";"24/08/2014";"24/08/2014";"24/08/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.018";"";"VCC-00088-00-001";"Oval Duct:Gored Elbows / Tees:567892";"Level 1";"Basic Wall:Interior - Furring (38 mm Stud):171555";"First Floor";"ARCH vs. MEP_Clash 38";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"cd000038.jpg";"";""
"VCC-00089";"001";"ARCH vs. MEP_Clash 39";"Group2";"ARCH vs. MEP";"";"0.1";"Clash #1062";"x:-14.472, y:46.799, z:3.455";"24/08/2014";"24/08/2014";"24/08/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.018";"";"VCC-00089-00-001";"Oval Duct:Gored Elbows / Tees:567892";"Level 1";"Basic Wall:Interior - Furring (152 mm Stud):171798";"First Floor";"ARCH vs. MEP_Clash 39";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"cd000039.jpg";"";""
"VCC-00090";"001";"ARCH vs. MEP_Clash 40";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1063";"x:-46.129, y:38.430, z:3.455";"24/08/2014";"24/08/2014";"24/08/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.017";"";"VCC-00090-00-001";"Rectangular Duct:Radius Elbows / Tees:566707";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):160155";"First Floor";"ARCH vs. MEP_Clash 40";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"cd000040.jpg";"";""
"VCC-00055";"001";"ARCH vs. MEP_Clash 5";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1028";"x:-20.290, y:23.728, z:3.002";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.444";"";"VCC-00055-00-001";"Pipe Types:Fire Protection:1001738";"Level 1";"Basic Wall:Interior - Furring (38 mm Stud):354853";"First Floor";"ARCH vs. MEP_Clash 5";"Architekt, Antje, think project!";"Reviewed";"Haustechnik, Helga, think project!";"cd000005.jpg";"";""
"VCC-00091";"001";"ARCH vs. MEP_Clash 41";"Group2";"ARCH vs. MEP";"";"0.1";"Clash #1064";"x:-43.186, y:37.158, z:3.013";"24/08/2014";"24/08/2014";"24/08/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.009";"";"VCC-00091-00-001";"Pipe Types:Vent:644486";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):159731";"First Floor";"ARCH vs. MEP_Clash 41";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"cd000041.jpg";"";""
"VCC-00092";"001";"ARCH vs. MEP_Clash 42";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1065";"x:-15.460, y:25.031, z:3.150";"24/08/2014";"24/08/2014";"24/08/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.005";"";"VCC-00092-00-001";"Rectangular Duct:Mitered Elbows / Tees:566874";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):182526";"First Floor";"ARCH vs. MEP_Clash 42";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"cd000042.jpg";"";""
"VCC-00093";"001";"ARCH vs. MEP_Clash 43";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1066";"x:-14.314, y:49.208, z:3.465";"24/08/2014";"24/08/2014";"24/08/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.003";"";"VCC-00093-00-001";"Rectangular Duct:Mitered Elbows / Tees:566718";"Level 1";"Basic Wall:Interior - Furring (38 mm Stud):171555";"First Floor";"ARCH vs. MEP_Clash 43";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"cd000043.jpg";"";""
"VCC-00094";"001";"ARCH vs. MEP_Clash 44";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1067";"x:-14.640, y:49.380, z:3.465";"24/08/2014";"24/08/2014";"24/08/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.003";"";"VCC-00094-00-001";"Rectangular Duct:Mitered Elbows / Tees:566718";"Level 1";"Basic Wall:Interior - Furring (152 mm Stud):171798";"First Floor";"ARCH vs. MEP_Clash 44";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"cd000044.jpg";"";""
"VCC-00095";"001";"ARCH vs. MEP_Clash 45";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1068";"x:-18.120, y:46.479, z:3.463";"24/08/2014";"24/08/2014";"24/08/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.003";"";"VCC-00095-00-001";"Oval Duct:Gored Elbows / Tees:567892";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):171321";"First Floor";"ARCH vs. MEP_Clash 45";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"cd000045.jpg";"";""
"VCC-00096";"001";"ARCH vs. MEP_Clash 46";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1069";"x:-7.510, y:42.615, z:3.479";"24/08/2014";"24/08/2014";"24/08/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-0.993";"";"VCC-00096-00-001";"Round Duct:Taps / Short Radius:567909";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):173265";"First Floor";"ARCH vs. MEP_Clash 46";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"cd000046.jpg";"";""
"VCC-00097";"001";"ARCH vs. MEP_Clash 47";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1070";"x:-32.656, y:15.650, z:3.224";"24/08/2014";"24/08/2014";"24/08/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-0.992";"";"VCC-00097-00-001";"Pipe Types:Hot Water:1124833";"Level 2";"Basic Wall:Interior - Partition (92mm Stud):170379";"First Floor";"ARCH vs. MEP_Clash 47";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"cd000047.jpg";"";""
"VCC-00098";"001";"ARCH vs. MEP_Clash 48";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1071";"x:-23.670, y:39.716, z:7.545";"24/08/2014";"24/08/2014";"24/08/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-0.983";"";"VCC-00098-00-001";"Pipe Types:Fire Protection:1029516";"Level 2";"Basic Wall:Interior - Furring (38 mm Stud):219415";"Second Floor";"ARCH vs. MEP_Clash 48";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"cd000048.jpg";"";""
"VCC-00099";"001";"ARCH vs. MEP_Clash 49";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1072";"x:-32.530, y:24.564, z:3.195";"24/08/2014";"24/08/2014";"24/08/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-0.982";"";"VCC-00099-00-001";"Pipe Types:Hot Water:713797";"Level 2";"Basic Wall:Interior - Partition (92mm Stud):354436";"First Floor";"ARCH vs. MEP_Clash 49";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"cd000049.jpg";"";""
"VCC-00100";"001";"ARCH vs. MEP_Clash 50";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1073";"x:-45.438, y:49.070, z:3.490";"24/08/2014";"24/08/2014";"24/08/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-0.978";"";"VCC-00100-00-001";"Rectangular Duct:Mitered Elbows / Taps:567201";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):148027";"First Floor";"ARCH vs. MEP_Clash 50";"Haustechnik, Helga, think project!";"New";"Architekt, Antje, think project!";"cd000050.jpg";"";""
"VCC-00056";"001";"ARCH vs. MEP_Clash 6";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1029";"x:-35.740, y:54.470, z:3.000";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.414";"";"VCC-00056-00-001";"Pipe Types:Fire Protection:1013667";"Level 1";"Basic Wall:Interior - Rated 1-HR (92mm Stud):150741";"First Floor";"ARCH vs. MEP_Clash 6";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"cd000006.jpg";"";""
"VCC-00057";"001";"ARCH vs. MEP_Clash 7";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1030";"x:-22.786, y:13.837, z:3.064";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.404";"";"VCC-00057-00-001";"Pipe Types:Hot Water:1126399";"Level 2";"Basic Wall:Interior - Partition (92mm Stud):170601";"First Floor";"ARCH vs. MEP_Clash 7";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"cd000007.jpg";"";""
